interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,vote_trump,voteintention,agegroup,race,incomelevel,educationl,workingstatus
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$95,000 to $99,999",Masters degree,IL,IL05,40,0,Biden,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $79,999",Masters degree,NY,NY21,63,0,Biden,55-64,White,Middle income,Masters degree,Not working
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$60,000 to $64,999","Completed some college, but no degree",MI,MI01,38,0,Biden,30-44,White,Middle income,Some College,Not working
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$60,000 to $64,999",High school graduate,SC,SC02,75,0,Biden,65+,White,Middle income,High School Graduate,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $49,999",High school graduate,IL,IL16,30,1,Trump,30-44,White,Middle income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$90,000 to $94,999",High school graduate,MA,MA08,66,0,Biden,65+,White,Middle income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,Female,Midwest,Not Hispanic,Asian (Chinese),"$80,000 to $84,999",Masters degree,MO,MO03,40,0,Biden,30-44,Others,Middle income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,West,Not Hispanic,White,"$60,000 to $64,999",Masters degree,CO,CO05,49,0,Biden,45-54,White,Middle income,Masters degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,South,Not Hispanic,White,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",NC,NC05,60,1,Trump,55-64,White,Middle income,College Degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,Female,Northeast,Not Hispanic,White,"$70,000 to $74,999",Masters degree,NY,NY13,68,0,Biden,65+,White,Middle income,Masters degree,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$60,000 to $64,999",High school graduate,IN,IN04,58,1,Trump,55-64,White,Middle income,High School Graduate,Working
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Not Hispanic,Asian (Chinese),"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,CA33,33,0,Biden,30-44,Others,Middle income,College Degree,Working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"$250,000 and above","Completed some college, but no degree",FL,FL01,26,1,Trump,18-29,White,Upper income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $124,999",Masters degree,IL,IL09,53,1,Trump,45-54,White,Middle income,Masters degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $19,999","Completed some college, but no degree",OH,OH14,64,0,Biden,55-64,White,Lower income,Some College,Not working
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$90,000 to $94,999",Masters degree,NY,NY07,49,1,Trump,45-54,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$125,000 to $149,999",Masters degree,WI,WI05,56,1,Trump,55-64,White,Upper income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Conservative,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,CT02,26,0,Biden,18-29,White,Middle income,College Degree,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$30,000 to $34,999",High school graduate,PA,PA09,58,1,Trump,55-64,White,Lower income,High School Graduate,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$60,000 to $64,999",Masters degree,DC,DC00,36,0,Biden,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $124,999",Masters degree,PA,PA01,70,0,Biden,65+,White,Middle income,Masters degree,Not working
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$45,000 to $49,999",Associate Degree,GA,GA08,25,1,Trump,18-29,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$150,000 to $174,999",Masters degree,NY,NY09,40,0,Biden,30-44,White,Upper income,Masters degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 to $174,999",Masters degree,FL,FL15,42,1,Trump,30-44,White,Upper income,Masters degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,Another country,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Completed some high school,FL,,26,0,Biden,18-29,Black,Lower income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,Another country,Male,Northeast,Not Hispanic,Asian (Chinese),"Less than $14,999","Completed some college, but no degree",NY,NY10,45,0,Biden,45-54,Others,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$30,000 to $34,999",Associate Degree,GA,GA01,57,1,Trump,55-64,White,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$90,000 to $94,999","Completed some college, but no degree",IL,IL01,55,1,Trump,55-64,White,Middle income,Some College,Working
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,West,Not Hispanic,White,"$55,000 to $59,999","Completed some college, but no degree",NM,NM02,70,0,Biden,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,TN09,55,0,Biden,55-64,White,Middle income,College Degree,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NC,NC04,32,1,Trump,30-44,White,Middle income,College Degree,Not working
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$40,000 to $44,999","Completed some college, but no degree",VA,,66,1,Trump,65+,White,Middle income,Some College,Working
Most of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MN,MN02,35,1,Trump,30-44,White,Middle income,College Degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",AZ,AZ07,34,0,Biden,30-44,White,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $124,999",Masters degree,PA,PA06,37,0,Biden,30-44,White,Middle income,Masters degree,Not working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$30,000 to $34,999","Completed some college, but no degree",OK,OK05,27,0,Biden,18-29,White,Lower income,Some College,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $124,999",Masters degree,IL,IL06,61,1,Trump,55-64,White,Middle income,Masters degree,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $124,999",Masters degree,FL,FL14,47,1,Trump,45-54,White,Middle income,Masters degree,Working
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$55,000 to $59,999",Doctorate degree,TX,TX14,45,1,Trump,45-54,White,Middle income,Doctorate degree,Not working
Hardly at all,Registered,Gary Johnson,Not sure,Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",IN,IN09,26,1,Trump,18-29,White,Middle income,College Degree,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",OH,OH03,53,1,Trump,45-54,White,Lower income,College Degree,Working
Only now and then,Registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Moderate,Self-employed,The United States,Male,Midwest,Not Hispanic,"Black, or African American","$50,000 to $54,999",High school graduate,OH,OH09,20,0,Biden,18-29,Black,Middle income,High School Graduate,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,West,Not Hispanic,White,"$50,000 to $54,999",Associate Degree,AZ,AZ05,65,0,Biden,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,NJ05,50,1,Trump,45-54,White,Upper income,College Degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,West,Not Hispanic,White,"$40,000 to $44,999","Completed some college, but no degree",CO,CO01,67,0,Biden,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,Male,Northeast,Not Hispanic,Asian (Korean),"$40,000 to $44,999",Masters degree,PA,PA18,55,0,Biden,55-64,Others,Middle income,Masters degree,Working
